id,content_url,vid,metadata
rS1SGFyXfCPpz46woYAyn,https://www.youtube.com/watch?v=5MSUAAro2tY,huYsOututfOUVj8rSOod6,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会""}"
8ascHaklLIqHD_XOSDTS_,https://www.youtube.com/watch?v=JbR2Z3ghCl8,covykT4apD7yJVyz9DMJN,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会"",""based_on_title"":true}"
3NByuO9w3WUkG_AL7zI3k,https://www.youtube.com/watch?v=vwgEKzcLBkw,TGHPauR04m4r1F4sF9geI,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会""}"
qCpdZwvTbvVMuYcaCaw8x,https://www.youtube.com/watch?v=NYZuDgsPQpI,fwMcz1PnqKALrHlLJwb9q,"{""channel_id"":""UCaLPXMxtXyBvjKqMPz1ewrQ"",""channel_name"":""わた旅""}"
C89KgIne6BgU2XNjDGZtL,https://www.youtube.com/watch?v=BJUbZlD0YN4,GTlDnoJdTNPeR2VD-hIy9,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
6sXZIPku-axRCuRmWWHVa,https://www.youtube.com/watch?v=P5WzfB6xJnQ,7TcIPmrZhNLm9r7HviJ21,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
IwmRMYnQDqqQgshQWGwWZ,https://www.youtube.com/watch?v=WAIWlHLPjjo,2pxS7px9Ts2E_mROS9VmW,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
UPtOS489KuuKM2ZgYRlM_,https://www.youtube.com/watch?v=l1we8Qajqmw,ep-S_3CpXrPRa_FZ546DX,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
zWGZo2By4D3ePfY-po3Ky,https://www.youtube.com/watch?v=arWbCUesF7E,Rh-ReENZhNa4n6FBG-gLJ,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
XVTA9-1MQEmfUsqy42UX_,https://www.youtube.com/watch?v=AaY1oqTqCGw,Tz235E-oqDSh1keqgtLN3,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
gW8FrhUISI_JGHIsattjB,https://www.youtube.com/watch?v=gWCsfVVDCoY,CNSOHXGiCDmAHkHNSisfM,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto"",""based_on_title"":true}"
8d4Vkj9n4wtsBT02CSKC3,https://www.youtube.com/watch?v=YgMGomoBxdE,oPiBUajSxvTaVpwiIGemP,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
U1hpSsro4TXYu2am04Tm5,https://www.youtube.com/watch?v=CQVHF7TJDm4,mK1BtGpsRadbQhIfmH6GB,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
kj3UNhd7femGQAUTPVA9_,https://www.youtube.com/watch?v=oks5WIPPq-E,nXlsFpQSduSEMcJA8R4cH,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
l4pd2qlqDJqrg2VuPpOvk,https://www.youtube.com/watch?v=Kq7b40VPuUQ,rgS0_wWraWmE9UkDV3B4h,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto"",""based_on_title"":true}"
GsDEHE1EGTDv_xwHOroOY,https://www.youtube.com/watch?v=nyR44kAg9hY,GiqF87Jz6WHXNxw48HuQQ,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
Nt6f9AtZFZwqrwsMBM-0v,https://www.youtube.com/watch?v=E2S6eKyTpaY,9idjdd8KCxtu9L1mMrye-,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
O1uE4a4njWG325X2MRMpm,https://www.youtube.com/watch?v=b_xQiQ2h3dk,5OuAkOC-7-TdFuaH1P4cq,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
Fh3kBPeI63XMeNyk_csqU,https://www.youtube.com/watch?v=5BP4NZYj-Yk,OEuLpv1ZsPRdSftRLTETX,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
6hMPNd6UNbwwWVRFWNKn3,https://www.youtube.com/watch?v=9nQ2yy6WJ3k,1iK8XKq-My901OENZ6U9w,"{""channel_id"":""UCH0i4HZmpsLVh5-t-Jzhvkg"",""channel_name"":""ベスト北海道【BESTHOKKAIDO】北海道絶景スポットYouTubeチャンネル""}"
