content_id,content_category_id
0SnxMfgS1FKO8HeKUtXfp,F72UQSSv5qnV6dGq2o8t-
0SnxMfgS1FKO8HeKUtXfp,iW3M5z9QsfI5jnVSJjr5j
0SnxMfgS1FKO8HeKUtXfp,phlunt5HJ3fBcZXrezlHN
KnN_PUvWRYSVAEbxBDZVq,F72UQSSv5qnV6dGq2o8t-
KnN_PUvWRYSVAEbxBDZVq,n0OLj1cQnnbM3n-2eOzCj
KnN_PUvWRYSVAEbxBDZVq,iW3M5z9QsfI5jnVSJjr5j
aAIvUZkC7o4hd9CPzpYin,l9bkiReXBvPDuJX6TdvDu
aAIvUZkC7o4hd9CPzpYin,phlunt5HJ3fBcZXrezlHN
Iy-Ff7A_bmPzhPd4-fRy4,F72UQSSv5qnV6dGq2o8t-
Iy-Ff7A_bmPzhPd4-fRy4,iW3M5z9QsfI5jnVSJjr5j
Iy-Ff7A_bmPzhPd4-fRy4,n0OLj1cQnnbM3n-2eOzCj
Iy-Ff7A_bmPzhPd4-fRy4,-Q1NyL2hihfCdselYbnjo
Iy-Ff7A_bmPzhPd4-fRy4,ncFeNw-5M4iGoDD-A8hBH
9kbBuxugG2GnyVs5yY-nm,2bdRQFIcZXrYbhxeWeffc
9kbBuxugG2GnyVs5yY-nm,iW3M5z9QsfI5jnVSJjr5j
9kbBuxugG2GnyVs5yY-nm,L34snMa-YMz_jT9erQqe2
gZqeZUcozwIkDT_0Z0wiK,F72UQSSv5qnV6dGq2o8t-
gZqeZUcozwIkDT_0Z0wiK,phlunt5HJ3fBcZXrezlHN
gZqeZUcozwIkDT_0Z0wiK,hbMworHLCdna9k7lGwgWG
JeRmZLT97NUJET9LSUIVc,F72UQSSv5qnV6dGq2o8t-
JeRmZLT97NUJET9LSUIVc,Uzldz52slOyT_7tD9MSW3
JeRmZLT97NUJET9LSUIVc,PFEwpbxaA9UrKET8fDnAt
zRQ4l5byYfDg5FKAgl_UL,Uzldz52slOyT_7tD9MSW3
zRQ4l5byYfDg5FKAgl_UL,phlunt5HJ3fBcZXrezlHN
UDTAOfSwTABrGZPdN7jlK,F72UQSSv5qnV6dGq2o8t-
UDTAOfSwTABrGZPdN7jlK,Uzldz52slOyT_7tD9MSW3
UDTAOfSwTABrGZPdN7jlK,phlunt5HJ3fBcZXrezlHN
UDTAOfSwTABrGZPdN7jlK,WpkELU1QduAUsJRvAKneB
cJbyWgx1T0P-ZvTCLqEri,iW3M5z9QsfI5jnVSJjr5j
cJbyWgx1T0P-ZvTCLqEri,L34snMa-YMz_jT9erQqe2
qnb_4S8HHYHjW-2lscxjy,F72UQSSv5qnV6dGq2o8t-
qnb_4S8HHYHjW-2lscxjy,L34snMa-YMz_jT9erQqe2
qnb_4S8HHYHjW-2lscxjy,-Q1NyL2hihfCdselYbnjo
qnb_4S8HHYHjW-2lscxjy,ncFeNw-5M4iGoDD-A8hBH
9GxR1kYPsTOG2z2TXou0p,F72UQSSv5qnV6dGq2o8t-
9GxR1kYPsTOG2z2TXou0p,iW3M5z9QsfI5jnVSJjr5j
9GxR1kYPsTOG2z2TXou0p,Uzldz52slOyT_7tD9MSW3
9GxR1kYPsTOG2z2TXou0p,phlunt5HJ3fBcZXrezlHN
xJlmhtBOyz3qdc_jC8W8_,F72UQSSv5qnV6dGq2o8t-
xJlmhtBOyz3qdc_jC8W8_,n0OLj1cQnnbM3n-2eOzCj
xJlmhtBOyz3qdc_jC8W8_,mE5Zf1AWhRKDQNHC_NsmV
xJlmhtBOyz3qdc_jC8W8_,iW3M5z9QsfI5jnVSJjr5j
6z8EHZ5Ea3MUQTcI2aS34,F72UQSSv5qnV6dGq2o8t-
6z8EHZ5Ea3MUQTcI2aS34,Uzldz52slOyT_7tD9MSW3
6z8EHZ5Ea3MUQTcI2aS34,phlunt5HJ3fBcZXrezlHN
OQjr07TKt7LqScE0yrBNL,F72UQSSv5qnV6dGq2o8t-
OQjr07TKt7LqScE0yrBNL,iW3M5z9QsfI5jnVSJjr5j
OQjr07TKt7LqScE0yrBNL,phlunt5HJ3fBcZXrezlHN
LqjQ3KBq0Geu35xpSutM_,F72UQSSv5qnV6dGq2o8t-
LqjQ3KBq0Geu35xpSutM_,L34snMa-YMz_jT9erQqe2
LqjQ3KBq0Geu35xpSutM_,n0OLj1cQnnbM3n-2eOzCj
LqjQ3KBq0Geu35xpSutM_,mE5Zf1AWhRKDQNHC_NsmV
LqjQ3KBq0Geu35xpSutM_,hbMworHLCdna9k7lGwgWG
87feLEysafZ2X7Uc2Svzk,iW3M5z9QsfI5jnVSJjr5j
87feLEysafZ2X7Uc2Svzk,phlunt5HJ3fBcZXrezlHN
D9KP62kt_1fmmCBh2hUP4,n0OLj1cQnnbM3n-2eOzCj
D9KP62kt_1fmmCBh2hUP4,tqy6nsKbGDANBHHt7CQaG
R9ycFmt-wlLViYUdDLZb-,F72UQSSv5qnV6dGq2o8t-
R9ycFmt-wlLViYUdDLZb-,iW3M5z9QsfI5jnVSJjr5j
R9ycFmt-wlLViYUdDLZb-,L34snMa-YMz_jT9erQqe2
93wHveQL2MValdeDhmDPZ,n0OLj1cQnnbM3n-2eOzCj
93wHveQL2MValdeDhmDPZ,2bdRQFIcZXrYbhxeWeffc
93wHveQL2MValdeDhmDPZ,phlunt5HJ3fBcZXrezlHN
QVT-upyJcs3bvceJuLsWG,WpkELU1QduAUsJRvAKneB
QVT-upyJcs3bvceJuLsWG,phlunt5HJ3fBcZXrezlHN
f6SyudEwh3aBh_zdua4u9,iW3M5z9QsfI5jnVSJjr5j
f6SyudEwh3aBh_zdua4u9,phlunt5HJ3fBcZXrezlHN
i4XvL2K0l0CfkIc3F4J09,Uzldz52slOyT_7tD9MSW3
i4XvL2K0l0CfkIc3F4J09,n0OLj1cQnnbM3n-2eOzCj
YdTgbyoVT3FIlYSz0v4Q7,phlunt5HJ3fBcZXrezlHN
YdTgbyoVT3FIlYSz0v4Q7,Uzldz52slOyT_7tD9MSW3
YdTgbyoVT3FIlYSz0v4Q7,l9bkiReXBvPDuJX6TdvDu
